2026-02-25 13:33:50 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2630
2026-02-25 13:33:50 INFO     PR git:2610 skipped: No reviews by qam-openqa
2026-02-25 13:33:50 DEBUG    Fetching info for PR git:2607 from Gitea
2026-02-25 13:33:50 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2638:SL-Micro
2026-02-25 13:33:50 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2628:SL-Micro
2026-02-25 13:33:50 DEBUG    Relevant archs for SUSE:SLFO:1.2:PullRequest:2625:SL-Micro: ['aarch64', 'ppc64le', 's390x', 'x86_64']
2026-02-25 13:33:50 DEBUG    Relevant archs for SUSE:SLFO:1.2:PullRequest:2635:SL-Micro: ['aarch64', 'ppc64le', 's390x', 'x86_64']
2026-02-25 13:33:50 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2629:SL-Micro
2026-02-25 13:33:50 INFO     PR git:2647 skipped: No reviews by qam-openqa
2026-02-25 13:33:50 DEBUG    Fetching info for PR git:2606 from Gitea
2026-02-25 13:33:50 INFO     PR git:2617 skipped: No reviews by qam-openqa
2026-02-25 13:33:50 DEBUG    Fetching info for PR git:2605 from Gitea
2026-02-25 13:33:50 DEBUG    Relevant archs for SUSE:SLFO:1.2:PullRequest:2638:SL-Micro: ['aarch64', 'ppc64le', 's390x', 'x86_64']
2026-02-25 13:33:50 INFO     PR git:2648 skipped: No reviews by qam-openqa
2026-02-25 13:33:50 DEBUG    Fetching info for PR git:2604 from Gitea
2026-02-25 13:33:50 INFO     PR git:2623 skipped: No reviews by qam-openqa
2026-02-25 13:33:50 INFO     PR git:2624 skipped: No reviews by qam-openqa
2026-02-25 13:33:50 DEBUG    Fetching info for PR git:2603 from Gitea
2026-02-25 13:33:50 DEBUG    Fetching info for PR git:2602 from Gitea
2026-02-25 13:33:50 DEBUG    Relevant archs for SUSE:SLFO:1.2:PullRequest:2628:SL-Micro: ['aarch64', 'ppc64le', 's390x', 'x86_64']
2026-02-25 13:33:50 INFO     PR git:2611 skipped: No reviews by qam-openqa
2026-02-25 13:33:50 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2640:SL-Micro
2026-02-25 13:33:50 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2631:SL-Micro
2026-02-25 13:33:50 INFO     PR git:2641 skipped: No reviews by qam-openqa
2026-02-25 13:33:50 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2630:SL-Micro
2026-02-25 13:33:50 DEBUG    Relevant archs for SUSE:SLFO:1.2:PullRequest:2629:SL-Micro: ['aarch64', 'ppc64le', 's390x', 'x86_64']
2026-02-25 13:33:50 INFO     PR git:2618 skipped: No reviews by qam-openqa
2026-02-25 13:33:50 DEBUG    Fetching info for PR git:2601 from Gitea
2026-02-25 13:33:50 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2649:SLES
2026-02-25 13:33:50 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2634:SL-Micro
2026-02-25 13:33:50 INFO     PR git:2612 skipped: No reviews by qam-openqa
2026-02-25 13:33:50 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2639:SL-Micro
2026-02-25 13:33:50 DEBUG    Fetching info for PR git:2600 from Gitea
2026-02-25 13:33:50 DEBUG    Fetching info for PR git:2599 from Gitea
2026-02-25 13:33:50 DEBUG    Fetching info for PR git:2598 from Gitea
2026-02-25 13:33:50 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2646:SLES
2026-02-25 13:33:50 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2626:SL-Micro
2026-02-25 13:33:50 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2627:SL-Micro
2026-02-25 13:33:50 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2637:SL-Micro
2026-02-25 13:33:50 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2633:SL-Micro
2026-02-25 13:33:50 DEBUG    Relevant archs for SUSE:SLFO:1.2:PullRequest:2631:SL-Micro: ['aarch64', 'ppc64le', 's390x', 'x86_64']
2026-02-25 13:33:50 DEBUG    Relevant archs for SUSE:SLFO:1.2:PullRequest:2640:SL-Micro: ['aarch64', 'ppc64le', 's390x', 'x86_64']
2026-02-25 13:33:50 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2636:SL-Micro
2026-02-25 13:33:51 DEBUG    Relevant archs for SUSE:SLFO:1.2:PullRequest:2630:SL-Micro: ['aarch64', 'ppc64le', 's390x', 'x86_64']
2026-02-25 13:33:51 DEBUG    Relevant archs for SUSE:SLFO:1.2:PullRequest:2634:SL-Micro: ['aarch64', 'ppc64le', 's390x', 'x86_64']
2026-02-25 13:33:51 DEBUG    Relevant archs for SUSE:SLFO:1.2:PullRequest:2626:SL-Micro: ['aarch64', 'ppc64le', 's390x', 'x86_64']
2026-02-25 13:33:51 DEBUG    Relevant archs for SUSE:SLFO:1.2:PullRequest:2649:SLES: ['aarch64', 'ppc64le', 's390x', 'x86_64']
2026-02-25 13:33:51 DEBUG    Relevant archs for SUSE:SLFO:1.2:PullRequest:2639:SL-Micro: ['aarch64', 'ppc64le', 's390x', 'x86_64']
2026-02-25 13:33:51 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2642:SLES
2026-02-25 13:33:51 DEBUG    Relevant archs for SUSE:SLFO:1.2:PullRequest:2637:SL-Micro: ['aarch64', 'ppc64le', 's390x', 'x86_64']
2026-02-25 13:33:51 DEBUG    Relevant archs for SUSE:SLFO:1.2:PullRequest:2633:SL-Micro: ['aarch64', 'ppc64le', 's390x', 'x86_64']
2026-02-25 13:33:51 DEBUG    Relevant archs for SUSE:SLFO:1.2:PullRequest:2627:SL-Micro: ['aarch64', 'ppc64le', 's390x', 'x86_64']
2026-02-25 13:33:51 DEBUG    Relevant archs for SUSE:SLFO:1.2:PullRequest:2646:SLES: ['aarch64', 'ppc64le', 's390x', 'x86_64']
2026-02-25 13:33:51 DEBUG    Relevant archs for SUSE:SLFO:1.2:PullRequest:2636:SL-Micro: ['aarch64', 'ppc64le', 's390x', 'x86_64']
2026-02-25 13:33:51 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2609
2026-02-25 13:33:51 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2615:SLES
2026-02-25 13:33:51 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2625:SLES
2026-02-25 13:33:51 DEBUG    Relevant archs for SUSE:SLFO:1.2:PullRequest:2642:SLES: ['aarch64', 'ppc64le', 's390x', 'x86_64']
2026-02-25 13:33:51 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2643:SLES
2026-02-25 13:33:51 DEBUG    Relevant archs for SUSE:SLFO:1.2:PullRequest:2615:SLES: ['aarch64', 'ppc64le', 's390x', 'x86_64']
2026-02-25 13:33:51 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2628:SLES
2026-02-25 13:33:51 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2635:SLES
2026-02-25 13:33:51 DEBUG    Relevant archs for SUSE:SLFO:1.2:PullRequest:2625:SLES: ['aarch64', 'ppc64le', 's390x', 'x86_64']
2026-02-25 13:33:51 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2638:SLES
2026-02-25 13:33:51 DEBUG    Relevant archs for SUSE:SLFO:1.2:PullRequest:2643:SLES: ['aarch64', 'ppc64le', 's390x', 'x86_64']
2026-02-25 13:33:51 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2609:SL-Micro
2026-02-25 13:33:51 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2629:SLES
2026-02-25 13:33:51 DEBUG    Relevant archs for SUSE:SLFO:1.2:PullRequest:2628:SLES: ['aarch64', 'ppc64le', 's390x', 'x86_64']
2026-02-25 13:33:51 DEBUG    Relevant archs for SUSE:SLFO:1.2:PullRequest:2635:SLES: ['aarch64', 'ppc64le', 's390x', 'x86_64']
2026-02-25 13:33:51 DEBUG    Relevant archs for SUSE:SLFO:1.2:PullRequest:2638:SLES: ['aarch64', 'ppc64le', 's390x', 'x86_64']
2026-02-25 13:33:51 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2626:SLES
2026-02-25 13:33:51 DEBUG    Relevant archs for SUSE:SLFO:1.2:PullRequest:2629:SLES: ['aarch64', 'ppc64le', 's390x', 'x86_64']
2026-02-25 13:33:51 DEBUG    Relevant archs for SUSE:SLFO:1.2:PullRequest:2609:SL-Micro: ['aarch64', 'ppc64le', 's390x', 'x86_64']
2026-02-25 13:33:51 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2634:SLES
2026-02-25 13:33:51 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2640:SLES
2026-02-25 13:33:51 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2637:SLES
2026-02-25 13:33:51 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2631:SLES
2026-02-25 13:33:51 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2639:SLES
2026-02-25 13:33:51 DEBUG    Relevant archs for SUSE:SLFO:1.2:PullRequest:2626:SLES: ['aarch64', 'ppc64le', 's390x', 'x86_64']
2026-02-25 13:33:51 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2630:SLES
2026-02-25 13:33:51 DEBUG    Relevant archs for SUSE:SLFO:1.2:PullRequest:2640:SLES: ['aarch64', 'ppc64le', 's390x', 'x86_64']
2026-02-25 13:33:51 DEBUG    Relevant archs for SUSE:SLFO:1.2:PullRequest:2639:SLES: ['aarch64', 'ppc64le', 's390x', 'x86_64']
2026-02-25 13:33:51 INFO     PR git:2608 skipped: No reviews by qam-openqa
2026-02-25 13:33:51 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2633:SLES
2026-02-25 13:33:51 DEBUG    Relevant archs for SUSE:SLFO:1.2:PullRequest:2637:SLES: ['aarch64', 'ppc64le', 's390x', 'x86_64']
2026-02-25 13:33:51 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2636:SLES
2026-02-25 13:33:51 INFO     PR git:2607 skipped: No reviews by qam-openqa
2026-02-25 13:33:51 DEBUG    Relevant archs for SUSE:SLFO:1.2:PullRequest:2631:SLES: ['aarch64', 'ppc64le', 's390x', 'x86_64']
2026-02-25 13:33:51 DEBUG    Relevant archs for SUSE:SLFO:1.2:PullRequest:2634:SLES: ['aarch64', 'ppc64le', 's390x', 'x86_64']
2026-02-25 13:33:51 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2627:SLES
2026-02-25 13:33:51 DEBUG    Fetching info for PR git:2597 from Gitea
2026-02-25 13:33:51 DEBUG    Fetching info for PR git:2595 from Gitea
2026-02-25 13:33:51 INFO     PR git:2606 skipped: No reviews by qam-openqa
2026-02-25 13:33:51 DEBUG    Relevant archs for SUSE:SLFO:1.2:PullRequest:2630:SLES: ['aarch64', 'ppc64le', 's390x', 'x86_64']
2026-02-25 13:33:51 INFO     PR git:2598 skipped: No reviews by qam-openqa
2026-02-25 13:33:51 DEBUG    Fetching info for PR git:2594 from Gitea
2026-02-25 13:33:51 DEBUG    Fetching info for PR git:2593 from Gitea
2026-02-25 13:33:51 DEBUG    Relevant archs for SUSE:SLFO:1.2:PullRequest:2633:SLES: ['aarch64', 'ppc64le', 's390x', 'x86_64']
2026-02-25 13:33:51 INFO     PR git:2603 skipped: No reviews by qam-openqa
