2026-02-25 13:02:03 INFO     PR git:1965 skipped: No reviews by qam-openqa
2026-02-25 13:02:03 INFO     PR git:2029 skipped: No reviews by qam-openqa
2026-02-25 13:02:04 INFO     PR git:1687 skipped: No reviews by qam-openqa
2026-02-25 13:02:04 INFO     PR git:1629 skipped: No reviews by qam-openqa
2026-02-25 13:02:04 INFO     PR git:1673 skipped: No reviews by qam-openqa
2026-02-25 13:02:04 INFO     PR git:1637 skipped: No reviews by qam-openqa
2026-02-25 13:02:04 INFO     PR git:1684 skipped: No reviews by qam-openqa
2026-02-25 13:02:04 INFO     PR git:1636 skipped: No reviews by qam-openqa
2026-02-25 13:02:04 INFO     PR git:1938: Some packages failed: 000productcompose:sles_sap_x86_64, 000productcompose:sles_aarch64, 000productcompose:sles_x86_64
2026-02-25 13:02:05 INFO     PR git:933 skipped: No channels found
2026-02-25 13:02:05 INFO     PR git:982 skipped: No reviews by qam-openqa
2026-02-25 13:02:06 INFO     PR git:612 skipped: No reviews by qam-openqa
2026-02-25 13:02:06 INFO     PR git:341 skipped: No reviews by qam-openqa
2026-02-25 13:02:06 INFO     PR git:205 skipped: No reviews by qam-openqa
2026-02-25 13:02:06 INFO     PR git:203 skipped: No reviews by qam-openqa
2026-02-25 13:02:06 INFO     PR git:315 skipped: No reviews by qam-openqa
2026-02-25 13:02:06 INFO     PR git:445 skipped: No reviews by qam-openqa
2026-02-25 13:02:06 INFO     PR git:446 skipped: No channels found
2026-02-25 13:02:06 INFO     PR git:191 skipped: No reviews by qam-openqa
2026-02-25 13:02:06 INFO     PR git:322 skipped: No channels found
2026-02-25 13:02:06 INFO     PR git:465 skipped: No channels found
2026-02-25 13:02:06 INFO     PR git:288 skipped: No reviews by qam-openqa
2026-02-25 13:02:07 INFO     Syncing Gitea PRs to QEM Dashboard: Considering 151 submissions
2026-02-25 13:02:07 INFO     QEM Dashboard submissions updated successfully
